"esqp_01" "esqp_02" "esqp_03" "esqp_04" "esqp_05" "esqp_06" "esqp_07" "esqp_08" "esqp_09" "esqp_10" "esqp_11" "esqp_12"
"482" 1 1 1 1 1 1 1 1 1 1 1 1
"483" 1 1 1 1 1 2 1 1 1 1 1 1
"484" 1 1 1 1 1 1 1 1 1 1 1 1
"485" 1 1 1 1 1 2 2 1 2 1 1 1
"486" 1 1 1 1 1 1 NA 1 1 1 1 1
"487" 1 1 1 1 2 1 2 2 2 3 1 2
"488" 1 1 1 1 1 2 2 1 1 1 1 1
"489" 1 2 1 1 1 1 1 1 3 2 1 1
"490" 1 1 1 1 1 1 1 1 2 1 1 1
"491" 1 1 1 1 1 1 1 1 2 1 1 1
"492" 1 1 1 1 1 1 1 1 1 1 1 1
"493" 1 1 1 1 1 1 1 2 1 1 1 1
"494" 1 1 1 1 1 1 1 2 2 2 1 1
"495" 1 1 1 1 1 1 1 1 1 1 1 1
"496" 1 2 1 1 1 1 1 1 1 1 1 1
"497" 1 2 1 1 1 1 1 1 1 1 1 1
"498" 1 1 1 1 1 2 1 2 3 3 2 2
"499" 1 1 1 1 1 1 1 1 1 3 2 1
"500" 1 1 1 1 1 1 1 1 1 3 2 1
"501" 1 1 1 1 2 1 2 1 1 3 1 1
"502" 1 1 1 1 2 1 2 1 1 3 1 1
"503" 1 1 1 1 1 1 2 2 1 1 1 1
"504" 1 1 1 1 1 1 2 2 1 1 1 1
"505" 1 1 1 1 1 1 1 2 2 1 1 1
"506" 1 1 1 1 1 2 1 2 2 1 1 1
"507" 1 1 1 1 1 2 1 2 2 1 1 1
"508" 1 2 1 1 2 2 1 2 3 3 1 1
"509" 1 2 1 1 2 2 1 2 3 3 1 1
"510" 1 1 1 1 1 1 1 1 1 1 1 1
"511" 1 1 NA 1 1 1 1 1 1 1 1 1
"512" 1 1 1 1 1 1 1 1 3 2 1 1
"513" 1 1 1 1 1 1 1 1 3 2 1 1
"514" 1 1 1 1 1 1 1 1 2 1 1 1
"515" 1 1 1 1 1 1 1 1 2 1 1 1
"516" 1 1 1 1 1 1 1 1 1 1 1 1
"517" 1 1 1 1 1 3 1 3 2 2 1 2
"518" 1 1 1 1 1 1 1 1 1 1 1 1
"519" 1 1 1 1 1 1 1 1 1 1 1 1
"520" 1 1 1 1 2 1 1 1 1 1 1 1
"521" 1 1 1 1 1 1 2 2 3 1 1 1
"522" 1 1 1 1 1 1 2 2 3 1 1 1
"523" 1 1 1 1 1 1 1 1 1 2 1 1
"524" 1 1 1 1 1 1 1 1 1 2 1 1
"525" 1 1 1 1 1 1 1 1 1 1 1 1
"526" 1 1 1 1 1 1 1 3 2 3 2 1
"527" 1 1 1 1 1 1 1 3 2 3 2 1
"528" 1 1 1 2 2 2 2 1 1 1 1 1
"529" 1 1 1 2 2 2 2 1 1 1 1 1
"530" 1 1 1 2 2 1 2 1 2 2 2 1
"531" 1 1 1 1 1 2 2 2 1 1 1 1
"532" 1 1 1 1 1 2 1 1 1 1 1 1
"533" 1 1 1 1 2 1 1 1 2 1 1 1
"534" 2 3 3 3 3 3 3 NA 1 NA 3 3
"535" 2 3 3 3 3 3 3 NA 1 NA 3 3
"536" 2 2 2 2 2 1 2 3 1 1 2 2
"537" 2 2 2 1 2 2 1 1 2 3 2 2
"538" 2 1 1 2 3 3 3 1 1 1 3 3
"539" 2 1 1 2 3 3 3 1 1 1 3 3
"540" 2 2 2 2 1 1 2 1 2 1 1 1
"541" 2 2 1 1 NA 2 3 1 1 1 2 NA
"542" 2 2 1 1 NA 2 3 1 1 1 2 NA
"543" 2 1 1 2 1 1 1 1 2 2 1 1
"544" 2 1 1 1 2 2 2 1 2 2 NA 2
"545" 2 1 1 1 2 2 2 1 2 2 NA 2
"546" 2 2 1 2 2 3 2 1 1 1 2 2
"547" 3 1 2 3 3 1 2 1 1 1 2 3
"548" 3 2 2 NA NA 2 NA NA 2 1 3 2
"549" NA NA 1 1 2 NA NA 1 3 1 1 1
"550" NA NA 1 1 2 NA NA 1 3 1 1 1
"551" 1 1 1 1 1 1 1 2 1 1 1 1
"552" 1 1 1 1 1 1 1 NA 1 NA 1 1
"553" 1 1 1 1 1 1 1 1 2 1 1 1
"554" 1 1 1 1 1 1 1 1 1 1 1 1
"555" 1 1 1 1 1 1 1 1 2 1 1 1
"556" 1 1 1 1 1 1 1 NA 1 NA 1 1
"557" 1 1 1 1 1 2 1 2 1 1 1 1
"558" 1 1 1 1 2 2 2 1 3 1 1 1
"559" 1 1 1 1 1 2 1 1 2 1 1 1
"560" 1 1 1 1 2 2 2 1 3 1 1 1
"561" 1 1 1 1 1 1 1 1 1 1 1 1
"562" 1 1 1 1 1 1 1 1 1 1 1 1
"563" 1 1 1 1 1 1 1 NA 1 NA 1 1
"564" 1 1 1 1 1 1 1 NA 1 NA 1 1
"565" 1 1 1 1 1 2 1 1 1 1 2 1
"566" 1 1 1 1 1 1 1 2 2 2 1 1
"567" 1 1 1 1 1 1 1 2 2 2 1 1
"568" 1 1 1 1 1 2 1 2 3 1 1 1
"569" 1 1 1 1 1 2 1 2 3 1 1 1
"570" 1 1 1 1 1 1 1 3 3 1 1 1
"571" 1 1 1 1 2 2 2 2 1 1 2 1
"572" 1 1 1 1 2 2 2 2 1 1 2 1
"573" 1 1 1 1 1 1 1 1 1 1 1 1
"574" 1 1 1 1 1 1 1 1 1 1 1 1
"575" 1 1 1 1 NA NA 1 2 1 1 1 1
"576" 1 1 1 1 NA NA 1 2 1 1 1 1
"577" 1 1 1 1 1 2 1 1 1 1 1 1
"578" 1 2 2 1 2 1 1 1 1 1 1 1
"579" 1 1 1 1 1 1 1 2 2 1 1 1
"580" 1 1 1 1 1 1 1 2 2 1 1 1
"581" 1 1 1 1 1 1 1 1 2 1 1 1
"582" 1 1 1 1 1 1 1 1 2 1 1 1
"583" 1 1 1 1 1 1 1 1 2 1 1 1
"584" 1 1 1 1 1 1 1 1 1 1 1 1
"585" 1 1 1 1 1 1 1 1 1 1 1 1
"586" 1 1 1 1 1 1 1 1 1 1 1 1
"587" 1 1 1 1 1 1 1 1 1 1 1 1
"588" 1 1 1 1 1 1 1 1 1 1 3 1
"589" 1 1 1 1 1 1 1 1 1 1 3 1
"590" 1 1 1 1 1 1 1 1 2 1 1 1
"591" 1 1 1 1 1 2 2 1 1 1 1 1
"592" 2 2 2 2 2 3 3 2 2 2 2 2
"593" 2 2 1 1 2 2 2 1 1 1 1 2
"594" 2 2 2 2 2 2 2 2 3 1 2 2
"595" 2 1 1 2 1 1 1 1 3 1 1 1
"596" 3 3 3 3 3 3 3 1 3 1 NA NA
"597" 1 1 1 1 1 1 1 1 1 1 1 1
"598" 1 1 1 1 2 2 2 1 1 1 1 1
"599" 1 1 1 1 1 1 1 NA 1 NA 1 1
"600" 1 1 1 1 2 2 NA 3 3 3 2 1
"601" 1 1 1 1 1 1 1 1 1 1 1 1
"602" 1 1 1 1 2 3 1 1 1 1 2 2
"603" 1 1 2 2 1 3 NA 2 1 1 1 1
"604" 1 1 1 1 1 1 1 1 1 1 1 1
"605" 1 1 1 1 1 1 1 1 1 1 1 1
"606" 1 1 1 2 1 2 1 1 1 1 1 1
"607" 1 1 1 2 1 2 1 1 1 1 1 1
"608" 1 1 1 1 1 1 1 1 1 3 1 1
"609" 1 1 1 1 1 1 1 1 1 1 1 1
"610" 1 1 1 1 1 1 1 1 1 1 1 1
"611" 1 1 1 1 1 1 1 1 1 1 1 1
"612" 1 1 1 1 1 1 1 1 1 1 1 1
"613" 1 1 1 1 1 1 1 2 2 2 1 1
"614" 1 1 1 1 1 1 1 1 1 1 1 1
"615" 2 2 2 2 2 2 1 2 2 2 1 2
"616" 2 2 2 2 2 3 2 2 3 3 1 2
"617" 3 3 3 3 3 3 3 1 1 2 NA NA
"618" NA NA 1 NA NA NA NA 1 1 1 1 1
"619" 2 1 1 1 1 1 1 1 1 1 1 1
"620" 3 3 3 3 3 3 3 2 3 1 3 3
